Plant,Month_Year,Total_Qty_KG,Total_Amount_INR,Records,Material_Name
M001,2021-11,58630,2793625.72,4,Coal Slurry
M001,2022-02,38860,2629314.23,2,Coal Slurry
M001,2022-03,93990,6462395.33,10,Coal Slurry
M001,2022-04,45120,3120450.00,5,Coal Slurry
M001,2022-05,62000,4100200.50,6,Coal Slurry
M001,2022-06,78500,5200300.00,8,Coal Slurry
M001,2022-07,51200,3400100.00,5,Coal Slurry
M001,2022-08,89000,5900800.00,9,Coal Slurry
M001,2022-09,34000,2300000.00,4,Coal Slurry
M001,2022-10,67000,4500000.00,7,Coal Slurry
M001,2022-11,8580,600000.00,1,Coal Slurry
M001,2022-12,157480,10500000.00,15,Coal Slurry
M001,2023-01,72000,4800000.00,7,Coal Slurry
M001,2023-02,61000,4100000.00,6,Coal Slurry
M001,2023-03,53000,3600000.00,5,Coal Slurry
M001,2023-04,48000,3200000.00,4,Coal Slurry
M001,2023-05,59000,3900000.00,6,Coal Slurry
M001,2023-06,64000,4300000.00,7,Coal Slurry
M001,2023-07,52000,3500000.00,5,Coal Slurry
M002,2021-11,2310,180000.00,1,Lignite Dust
M002,2021-12,12000,800000.00,2,Lignite Dust
M002,2022-01,15000,980000.00,2,Lignite Dust
M002,2022-02,18000,1200000.00,3,Lignite Dust
M002,2022-03,24000,1600000.00,3,Lignite Dust
M002,2022-04,29000,1900000.00,4,Lignite Dust
M002,2022-05,35000,2300000.00,4,Lignite Dust
M002,2022-06,42000,2800000.00,5,Lignite Dust
M002,2022-07,31000,2000000.00,4,Lignite Dust
M002,2022-08,55000,3600000.00,6,Lignite Dust
M002,2022-09,170820,11000000.00,18,Lignite Dust
M002,2022-10,48000,3100000.00,5,Lignite Dust
M002,2022-11,26000,1700000.00,3,Lignite Dust
M002,2022-12,33000,2100000.00,4,Lignite Dust
M002,2023-01,39000,2500000.00,5,Lignite Dust
M002,2023-02,28000,1800000.00,3,Lignite Dust
M002,2023-03,36000,2400000.00,4,Lignite Dust
M002,2023-04,41000,2700000.00,5,Lignite Dust
M002,2023-05,30000,2000000.00,4,Lignite Dust
M002,2023-06,44000,2900000.00,5,Lignite Dust
M002,2023-07,47000,3100000.00,6,Lignite Dust
